S8052 (11.88%)
  1.0 0.0
  0.9966401 0.0003193766
  0.9923703 0.0007833353
  0.9876474 0.001300526
  0.9825225 0.001864347
  0.9770579 0.002487357
  0.9713062 0.003168622
  0.9653234 0.003902101
  0.9591624 0.004679824
  0.9528743 0.005492203
  0.9465028 0.006331167
  0.9400804 0.007193309
  0.9336257 0.00807734
  0.9271433 0.008982944
  0.9206327 0.009908451
  0.9140965 0.01085149
  0.9075399 0.01180931
  0.9009698 0.01277999
  0.8943914 0.01376226
  0.8878077 0.01475519
  0.8812195 0.01575815
  0.8746264 0.01677072
  0.8680283 0.0177925
  0.8614247 0.01882308
  0.8548157 0.01986201
  0.8482009 0.02090874
  0.8415805 0.02196266
  0.8349544 0.02302314
  0.8283229 0.02408952
  0.8216863 0.02516124
  0.8150448 0.02623775
  0.808399 0.02731855
  0.8017491 0.0284031
  0.7950957 0.02949083
  0.7884393 0.030581
  0.7817801 0.03167283
  0.7751183 0.03276554
  0.7684542 0.03385834
  0.7617877 0.03495059
  0.7551192 0.03604198
  0.7484498 0.0371323
  0.7417815 0.03822117
  0.7351169 0.03930812
  0.7284596 0.04039245
  0.7218127 0.04147278
  0.7151778 0.04254763
  0.7085548 0.04361579
  0.701942 0.04467638
  0.6953359 0.04572876
  0.6887324 0.04677297
  0.6821288 0.04780937
  0.6755253 0.04883794
  0.6689242 0.0498583
  0.6623303 0.05086969
  0.6557506 0.05187054
  0.6491914 0.05285749
  0.6426569 0.05382722
  0.6361484 0.05477688
  0.6296653 0.05570403
  0.6232046 0.0566066
  0.6167618 0.05748364
  0.6103322 0.05833507
  0.6039104 0.05916084
  0.5974912 0.05996085
  0.5910687 0.06073497
  0.5846368 0.06148325
  0.5781903 0.06220718
  0.5717257 0.06290871
  0.5652419 0.06358953
  0.5587402 0.0642511
  0.5522242 0.06489469
  0.5456994 0.06552089
  0.5391717 0.06612888
  0.5326452 0.06671777
  0.5261223 0.06728686
  0.519604 0.06783562
  0.5130895 0.06836366
  0.5065769 0.06887096
  0.500064 0.06935777
  0.4935491 0.06982431
  0.4870308 0.07027076
  0.4805079 0.07069725
  0.4739798 0.07110392
  0.4674458 0.07149102
  0.4609064 0.07185886
  0.4543622 0.07220774
  0.4478147 0.07253791
  0.4412659 0.07284963
  0.4347185 0.07314297
  0.4281746 0.0734174
  0.4216355 0.07367236
  0.4151013 0.07390732
  0.4085712 0.0741218
  0.4020432 0.07431534
  0.3955147 0.07448788
  0.3889839 0.07463971
  0.3824498 0.07477114
  0.3759129 0.07488241
  0.3693746 0.07497377
  0.3628373 0.07504537
  0.3563038 0.0750968
  0.3497756 0.07512752
  0.3432536 0.07513699
  0.3367374 0.07512469
  0.3302255 0.07509011
  0.3237159 0.075033
  0.3172074 0.07495335
  0.3106993 0.07485118
  0.3041922 0.07472653
  0.2976876 0.07457946
  0.2911876 0.07440987
  0.2846943 0.07421725
  0.2782089 0.07400105
  0.2717317 0.07376067
  0.265262 0.07349551
  0.2587984 0.073205
  0.2523397 0.07288878
  0.2458861 0.07254663
  0.2394385 0.07217838
  0.2329993 0.07178396
  0.2265719 0.07136316
  0.2201594 0.07091508
  0.2137636 0.07043868
  0.2073849 0.06993284
  0.2010226 0.06939635
  0.194675 0.06882805
  0.1883416 0.0682271
  0.1820243 0.06759291
  0.1757267 0.06692514
  0.1694547 0.06622363
  0.1632143 0.06548716
  0.1570095 0.0647138
  0.1508409 0.06390136
  0.1447069 0.06304741
  0.1386046 0.06214984
  0.1325343 0.0612077
  0.1265015 0.06022092
  0.1205162 0.05919044
  0.1145921 0.0581163
  0.1087424 0.05699591
  0.1029777 0.05582663
  0.0973051 0.05460604
  0.09172983 0.05333156
  0.0862544 0.05200009
  0.08087839 0.05060832
  0.07559919 0.04915289
  0.07041765 0.04763381
  0.06534823 0.04605709
  0.06041746 0.04443399
  0.05565853 0.04277764
  0.05110203 0.04109565
  0.04676672 0.0393941
  0.04266054 0.03767853
  0.03878826 0.03595591
  0.03515978 0.03423817
  0.03178413 0.03253985
  0.02866437 0.03087434
  0.0257978 0.02924967
  0.02317404 0.02767045
  0.02077684 0.02613906
  0.01858754 0.02465563
  0.01659231 0.02321747
  0.01478056 0.02182341
  0.01314078 0.02047383
  0.01166005 0.01916917
  0.01032485 0.01790946
  0.009121873 0.01669347
  0.008036497 0.01551709
  0.007054728 0.01437487
  0.006164291 0.01326119
  0.005354828 0.01217066
  0.004617171 0.01109889
  0.003943862 0.01004528
  0.003330419 0.009013082
  0.002773733 0.00800761
  0.002270896 0.00703461
  0.001818611 0.006099056
  0.001413409 0.005204428
  0.001056897 0.004351617
  0.0007523036 0.003537261
  0.0005001361 0.002755506
  0.0002999483 0.001999764
  0.0001514123 0.001263396
  5.492249e-05 0.0005398417
  1.202856e-05 -0.0001775522
  2.545525e-05 -0.0008955073
  9.593354e-05 -0.001617583
  0.0002241322 -0.002344694
  0.0004126015 -0.003076613
  0.0006656559 -0.003811699
  0.0009892935 -0.004546335
  0.001391008 -0.005274022
  0.001878697 -0.005985611
  0.002456537 -0.006678559
  0.00312637 -0.007354572
  0.003888734 -0.008016423
  0.004742209 -0.008668343
  0.005682498 -0.009316582
  0.00670117 -0.009970154
  0.007791153 -0.0106378
  0.008958812 -0.01132134
  0.01021384 -0.01202149
  0.01156754 -0.0127391
  0.01303327 -0.01347532
  0.01462724 -0.01423189
  0.01636915 -0.01501135
  0.01827991 -0.01581606
  0.02038263 -0.01664854
  0.02270243 -0.01751172
  0.02526443 -0.01840879
  0.02809154 -0.01934291
  0.03120616 -0.02031292
  0.03462542 -0.0213137
  0.038357 -0.02233838
  0.04240191 -0.02338049
  0.0467582 -0.02443235
  0.051412 -0.02548336
  0.05633709 -0.02652308
  0.06150329 -0.02754319
  0.06688061 -0.02853613
  0.07243591 -0.02949586
  0.07813764 -0.03041925
  0.08396069 -0.03130451
  0.08988383 -0.0321496
  0.09588883 -0.03295389
  0.1019621 -0.0337181
  0.1080945 -0.03444321
  0.1142786 -0.03513032
  0.1205079 -0.03578096
  0.1267772 -0.03639697
  0.1330824 -0.03697986
  0.1394197 -0.03753102
  0.1457851 -0.03805198
  0.1521747 -0.03854435
  0.1585849 -0.03900918
  0.165013 -0.03944721
  0.1714568 -0.03985924
  0.1779151 -0.04024617
  0.1843873 -0.04060896
  0.1908733 -0.04094848
  0.1973723 -0.04126563
  0.2038837 -0.04156127
  0.2104061 -0.0418363
  0.2169382 -0.04209139
  0.2234789 -0.04232705
  0.2300273 -0.04254377
  0.2365829 -0.04274208
  0.2431452 -0.04292251
  0.2497144 -0.04308559
  0.2562903 -0.04323182
  0.2628727 -0.0433617
  0.2694614 -0.04347572
  0.2760558 -0.04357439
  0.2826556 -0.04365814
  0.2892601 -0.04372729
  0.2958689 -0.04378217
  0.3024816 -0.04382311
  0.3090978 -0.04385043
  0.3157172 -0.04386446
  0.3223396 -0.04386544
  0.3289648 -0.04385359
  0.3355926 -0.04382914
  0.3422232 -0.04379232
  0.3488564 -0.04374336
  0.3554924 -0.04368247
  0.3621312 -0.04360986
  0.3687724 -0.04352575
  0.3754156 -0.04343036
  0.3820601 -0.04332389
  0.388705 -0.04320656
  0.3953495 -0.04307837
  0.4019929 -0.04293924
  0.4086352 -0.04278912
  0.4152766 -0.0426279
  0.4219177 -0.04245551
  0.4285592 -0.04227189
  0.4352019 -0.04207714
  0.4418459 -0.04187139
  0.4484908 -0.0416548
  0.4551353 -0.04142754
  0.461778 -0.04118982
  0.4684166 -0.04094154
  0.4750492 -0.04068209
  0.4816742 -0.04041083
  0.4882908 -0.0401271
  0.4948985 -0.03983022
  0.5014973 -0.03951953
  0.5080876 -0.03919444
  0.5146702 -0.03885447
  0.5212465 -0.03849914
  0.5278181 -0.0381279
  0.5343868 -0.03774019
  0.5409552 -0.03733545
  0.5475256 -0.03691368
  0.5541003 -0.0364754
  0.5606806 -0.03602115
  0.5672673 -0.0355515
  0.5738606 -0.03506709
  0.5804599 -0.03456858
  0.5870642 -0.03405652
  0.5936729 -0.03353136
  0.6002854 -0.03299354
  0.6069014 -0.0324435
  0.613521 -0.03188165
  0.6201442 -0.0313084
  0.6267714 -0.03072418
  0.6334033 -0.03012944
  0.6400402 -0.02952463
  0.6466828 -0.02891019
  0.6533317 -0.02828654
  0.6599877 -0.02765421
  0.6666515 -0.02701398
  0.6733236 -0.02636663
  0.6800044 -0.02571299
  0.6866941 -0.02505392
  0.6933927 -0.02439027
  0.7000999 -0.02372277
  0.7068148 -0.02305209
  0.7135358 -0.02237897
  0.7202605 -0.02170426
  0.7269859 -0.02102883
  0.7337083 -0.02035375
  0.7404248 -0.01968023
  0.7471334 -0.0190094
  0.7538334 -0.01834225
  0.7605253 -0.01767966
  0.7672106 -0.0170223
  0.7738912 -0.01637043
  0.7805683 -0.01572419
  0.7872427 -0.01508383
  0.7939144 -0.01444961
  0.800583 -0.01382191
  0.8072477 -0.01320121
  0.8139078 -0.01258806
  0.8205629 -0.01198298
  0.8272129 -0.01138646
  0.8338577 -0.01079896
  0.8404976 -0.01022101
  0.8471326 -0.009653111
  0.8537628 -0.009095789
  0.8603884 -0.008549554
  0.8670096 -0.008014821
  0.8736269 -0.007491852
  0.8802413 -0.006980866
  0.8868542 -0.006482052
  0.8934674 -0.005995482
  0.9000811 -0.00552107
  0.9066931 -0.005058866
  0.9132982 -0.004609095
  0.9198899 -0.004172605
  0.9264641 -0.003750914
  0.9330215 -0.003345284
  0.9395666 -0.002956124
