  S9026 (9.5%)
  1.0 0.0
  0.9965154 0.0001142002
  0.9921058 0.0003613023
  0.9872549 0.0006991083
  0.981997 0.001112253
  0.97638 0.001582838
  0.9704887 0.002091503
  0.964404 0.002625618
  0.9581937 0.003173207
  0.9519204 0.003721492
  0.9456099 0.004260482
  0.9392552 0.004791445
  0.9328603 0.005320929
  0.9264442 0.005850529
  0.9200207 0.006379376
  0.9135944 0.006908038
  0.9071659 0.007438286
  0.9007335 0.00797149
  0.8942959 0.008507064
  0.8878543 0.009043871
  0.8814118 0.009581332
  0.8749707 0.01011958
  0.8685312 0.01065892
  0.8620928 0.01119957
  0.8556557 0.01174168
  0.8492205 0.01228538
  0.8427879 0.01283099
  0.8363572 0.01337897
  0.8299268 0.01392967
  0.8234945 0.01448226
  0.8170594 0.01503545
  0.8106212 0.01558796
  0.8041807 0.0161397
  0.7977386 0.01669125
  0.7912952 0.01724321
  0.7848507 0.01779584
  0.7784051 0.01834889
  0.7719589 0.01890208
  0.7655125 0.01945511
  0.7590667 0.02000774
  0.7526224 0.02055974
  0.7461806 0.02111084
  0.7397422 0.0216606
  0.733308 0.02220834
  0.7268776 0.02275345
  0.7204503 0.0232954
  0.714025 0.02383402
  0.7076007 0.02436924
  0.701177 0.02490098
  0.6947535 0.02542914
  0.6883303 0.02595367
  0.6819073 0.0264745
  0.6754847 0.02699157
  0.6690625 0.02750484
  0.6626407 0.02801424
  0.6562189 0.02851975
  0.6497966 0.02902137
  0.6433731 0.02951919
  0.636948 0.03001337
  0.6305222 0.03050403
  0.624097 0.03099121
  0.6176745 0.03147459
  0.6112561 0.03195345
  0.6048417 0.0324271
  0.5984297 0.03289499
  0.5920178 0.03335703
  0.585604 0.03381368
  0.5791876 0.03426534
  0.5727689 0.03471234
  0.5663493 0.03515475
  0.5599301 0.03559237
  0.5535119 0.03602497
  0.547095 0.0364524
  0.540679 0.03687451
  0.5342637 0.03729118
  0.5278492 0.03770225
  0.5214361 0.03810752
  0.5150252 0.03850675
  0.508617 0.0388995
  0.5022112 0.03928542
  0.4958067 0.03966417
  0.4894019 0.04003559
  0.4829956 0.04039996
  0.4765874 0.04075754
  0.4701782 0.04110856
  0.46377 0.04145302
  0.4573644 0.04179041
  0.450962 0.04212019
  0.4445623 0.04244187
  0.4381634 0.04275515
  0.4317636 0.04306024
  0.4253622 0.04335741
  0.4189596 0.04364689
  0.4125573 0.04392876
  0.4061569 0.04420254
  0.3997598 0.04446769
  0.3933664 0.04472368
  0.386977 0.04497004
  0.380591 0.04520642
  0.3742072 0.04543251
  0.3678239 0.04564801
  0.3614388 0.04585284
  0.3550505 0.04604745
  0.3486596 0.04623236
  0.3422686 0.04640802
  0.3358819 0.04657431
  0.3295028 0.0467299
  0.323133 0.04687339
  0.3167717 0.04700349
  0.3104167 0.04711934
  0.3040656 0.04722062
  0.2977164 0.04730701
  0.2913676 0.04737822
  0.2850184 0.04743422
  0.2786691 0.04747517
  0.2723212 0.04750123
  0.2659777 0.04751235
  0.2596408 0.04750769
  0.2533107 0.04748632
  0.246986 0.0474473
  0.2406642 0.04739013
  0.2343448 0.04731479
  0.2280305 0.0472213
  0.2217266 0.04710927
  0.2154374 0.04697685
  0.2091632 0.04682188
  0.2029008 0.04664227
  0.1966453 0.04643717
  0.1903946 0.04620644
  0.1841497 0.04595001
  0.177914 0.04566744
  0.1716898 0.04535777
  0.1654772 0.04502
  0.1592759 0.04465312
  0.1530882 0.04425641
  0.1469214 0.04382946
  0.1407845 0.04337034
  0.1346815 0.04287492
  0.1286086 0.04233866
  0.1225585 0.04175895
  0.1165287 0.04113527
  0.1105236 0.04046755
  0.1045515 0.03975482
  0.09862091 0.03899586
  0.09274036 0.03818892
  0.08692049 0.03733145
  0.08117426 0.03642139
  0.07551556 0.03545498
  0.06995627 0.03442823
  0.06450757 0.03333867
  0.05918461 0.03218649
  0.05400786 0.03097527
  0.04901028 0.02971484
  0.04423543 0.02841904
  0.03973006 0.02709931
  0.03553207 0.02576855
  0.0316642 0.02443391
  0.0281291 0.02310122
  0.02491628 0.02178096
  0.02201215 0.0204872
  0.01939828 0.0192315
  0.01705424 0.01802208
  0.01495677 0.0168646
  0.01308171 0.01575867
  0.01140569 0.01469866
  0.009904903 0.01367933
  0.008559402 0.01269488
  0.007356375 0.01173807
  0.006283762 0.01080388
  0.00532955 0.009889187
  0.004481142 0.00899404
  0.003725506 0.008118955
  0.003050883 0.007262722
  0.002447411 0.00642324
  0.00191026 0.0055975
  0.001439534 0.004784722
  0.001035618 0.003987388
  0.0006975839 0.003209475
  0.0004247105 0.002455904
  0.0002188963 0.00172963
  8.017326e-05 0.001026968
  9.152932e-06 0.0003403549
  9.152932e-06 -0.0003403549
  8.017326e-05 -0.001026968
  0.0002188963 -0.00172963
  0.0004247105 -0.002455904
  0.0006975839 -0.003209475
  0.001035618 -0.003987388
  0.001439534 -0.004784722
  0.00191026 -0.0055975
  0.002447411 -0.00642324
  0.003050883 -0.007262722
  0.003725506 -0.008118955
  0.004481142 -0.00899404
  0.00532955 -0.009889187
  0.006283762 -0.01080388
  0.007356375 -0.01173807
  0.008559402 -0.01269488
  0.009904903 -0.01367933
  0.01140569 -0.01469866
  0.01308171 -0.01575867
  0.01495677 -0.0168646
  0.01705424 -0.01802208
  0.01939828 -0.0192315
  0.02201215 -0.0204872
  0.02491628 -0.02178096
  0.0281291 -0.02310122
  0.0316642 -0.02443391
  0.03553207 -0.02576855
  0.03973006 -0.02709931
  0.04423543 -0.02841904
  0.04901028 -0.02971484
  0.05400786 -0.03097527
  0.05918461 -0.03218649
  0.06450757 -0.03333867
  0.06995627 -0.03442823
  0.07551556 -0.03545498
  0.08117426 -0.03642139
  0.08692049 -0.03733145
  0.09274036 -0.03818892
  0.09862091 -0.03899586
  0.1045515 -0.03975482
  0.1105236 -0.04046755
  0.1165287 -0.04113527
  0.1225585 -0.04175895
  0.1286086 -0.04233866
  0.1346815 -0.04287492
  0.1407845 -0.04337034
  0.1469214 -0.04382946
  0.1530882 -0.04425641
  0.1592759 -0.04465312
  0.1654772 -0.04502
  0.1716898 -0.04535777
  0.177914 -0.04566744
  0.1841497 -0.04595001
  0.1903946 -0.04620644
  0.1966453 -0.04643717
  0.2029008 -0.04664227
  0.2091632 -0.04682188
  0.2154374 -0.04697685
  0.2217266 -0.04710927
  0.2280305 -0.0472213
  0.2343448 -0.04731479
  0.2406642 -0.04739013
  0.246986 -0.0474473
  0.2533107 -0.04748632
  0.2596408 -0.04750769
  0.2659777 -0.04751235
  0.2723212 -0.04750123
  0.2786691 -0.04747517
  0.2850184 -0.04743422
  0.2913676 -0.04737822
  0.2977164 -0.04730701
  0.3040656 -0.04722062
  0.3104167 -0.04711934
  0.3167717 -0.04700349
  0.323133 -0.04687339
  0.3295028 -0.0467299
  0.3358819 -0.04657431
  0.3422686 -0.04640802
  0.3486596 -0.04623236
  0.3550505 -0.04604745
  0.3614388 -0.04585284
  0.3678239 -0.04564801
  0.3742072 -0.04543251
  0.380591 -0.04520642
  0.386977 -0.04497004
  0.3933664 -0.04472368
  0.3997598 -0.04446769
  0.4061569 -0.04420254
  0.4125573 -0.04392876
  0.4189596 -0.04364689
  0.4253622 -0.04335741
  0.4317636 -0.04306024
  0.4381634 -0.04275515
  0.4445623 -0.04244187
  0.450962 -0.04212019
  0.4573644 -0.04179041
  0.46377 -0.04145302
  0.4701782 -0.04110856
  0.4765874 -0.04075754
  0.4829956 -0.04039996
  0.4894019 -0.04003559
  0.4958067 -0.03966417
  0.5022112 -0.03928542
  0.508617 -0.0388995
  0.5150252 -0.03850675
  0.5214361 -0.03810752
  0.5278492 -0.03770225
  0.5342637 -0.03729118
  0.540679 -0.03687451
  0.547095 -0.0364524
  0.5535119 -0.03602497
  0.5599301 -0.03559237
  0.5663493 -0.03515475
  0.5727689 -0.03471234
  0.5791876 -0.03426534
  0.585604 -0.03381368
  0.5920178 -0.03335703
  0.5984297 -0.03289499
  0.6048417 -0.0324271
  0.6112561 -0.03195345
  0.6176745 -0.03147459
  0.624097 -0.03099121
  0.6305222 -0.03050403
  0.636948 -0.03001337
  0.6433731 -0.02951919
  0.6497966 -0.02902137
  0.6562189 -0.02851975
  0.6626407 -0.02801424
  0.6690625 -0.02750484
  0.6754847 -0.02699157
  0.6819073 -0.0264745
  0.6883303 -0.02595367
  0.6947535 -0.02542914
  0.701177 -0.02490098
  0.7076007 -0.02436924
  0.714025 -0.02383402
  0.7204503 -0.0232954
  0.7268776 -0.02275345
  0.733308 -0.02220834
  0.7397422 -0.0216606
  0.7461806 -0.02111084
  0.7526224 -0.02055974
  0.7590667 -0.02000774
  0.7655125 -0.01945511
  0.7719589 -0.01890208
  0.7784051 -0.01834889
  0.7848507 -0.01779584
  0.7912952 -0.01724321
  0.7977386 -0.01669125
  0.8041807 -0.0161397
  0.8106212 -0.01558796
  0.8170594 -0.01503545
  0.8234945 -0.01448226
  0.8299268 -0.01392967
  0.8363572 -0.01337897
  0.8427879 -0.01283099
  0.8492205 -0.01228538
  0.8556557 -0.01174168
  0.8620928 -0.01119957
  0.8685312 -0.01065892
  0.8749707 -0.01011958
  0.8814118 -0.009581332
  0.8878543 -0.009043871
  0.8942959 -0.008507064
  0.9007335 -0.00797149
  0.9071659 -0.007438286
  0.9135944 -0.006908038
  0.9200207 -0.006379376
  0.9264442 -0.005850529
  0.9328603 -0.005320929
  0.9392552 -0.004791445
  0.9456099 -0.004260482
  0.9519204 -0.003721492
  0.9581937 -0.003173207
  0.964404 -0.002625618
  0.9704887 -0.002091503
  0.97638 -0.001582838
  0.981997 -0.001112253
  0.9872549 -0.0006991083
  0.9921058 -0.0003613023
  0.9965154 -0.0001142002
  1.0 0.0
