SARATOV AIRFOIL
  1.0 0.0
  0.9965329 0.001011116
  0.9924219 0.0022079
  0.9881838 0.003439226
  0.9838113 0.00470698
  0.979297 0.006013133
  0.9746326 0.007359725
  0.9698101 0.008748839
  0.964821 0.01018257
  0.9596569 0.01166297
  0.9543098 0.01319198
  0.9487722 0.01477135
  0.9430375 0.01640248
  0.9371008 0.01808631
  0.9309595 0.0198231
  0.9246139 0.02161223
  0.9180685 0.02345194
  0.9113324 0.0253391
  0.9044208 0.027269
  0.8973549 0.02923524
  0.8901618 0.03122928
  0.8828803 0.03323866
  0.8756216 0.03523109
  0.8683934 0.03720311
  0.8611708 0.03916016
  0.8539331 0.04110643
  0.8466629 0.04304501
  0.8393516 0.04497648
  0.8320635 0.04688234
  0.8248265 0.04875417
  0.8176408 0.05059101
  0.8105025 0.05239294
  0.8034045 0.05416085
  0.7963368 0.05589637
  0.7892877 0.05760257
  0.7822466 0.05928314
  0.7752043 0.06094134
  0.768153 0.06257994
  0.7610864 0.06420136
  0.7539993 0.06580765
  0.7468877 0.06740053
  0.7397491 0.06898139
  0.7325821 0.07055136
  0.725387 0.07211122
  0.7181654 0.07366148
  0.7109205 0.07520234
  0.7036572 0.07673369
  0.696382 0.0782551
  0.6891025 0.07976516
  0.6818251 0.08126187
  0.6745552 0.08274349
  0.6672965 0.08420864
  0.6600516 0.08565622
  0.6528216 0.08708546
  0.6456063 0.08849582
  0.6384042 0.08988705
  0.6312126 0.09125912
  0.6240275 0.09261218
  0.616844 0.0939466
  0.6096557 0.09526291
  0.6024549 0.0965618
  0.5952327 0.09784421
  0.5879797 0.09911233
  0.580688 0.1003688
  0.5733521 0.1016159
  0.5659687 0.1028554
  0.5585373 0.1040888
  0.5510749 0.1053148
  0.5436383 0.1065257
  0.5362256 0.1077235
  0.5288254 0.1089118
  0.5214234 0.1100946
  0.5140026 0.1112761
  0.5065433 0.1124612
  0.4990724 0.1136473
  0.491678 0.1148189
  0.4843819 0.1159635
  0.4771971 0.1170695
  0.4701305 0.1181271
  0.4631841 0.1191285
  0.456356 0.1200673
  0.4496414 0.1209382
  0.4430329 0.1217369
  0.4365216 0.1224599
  0.4300972 0.123104
  0.4237484 0.123666
  0.4174632 0.1241429
