  SD7084 (9.6%)
  1.0 0.0
  0.9967075 0.0002881325
  0.9923848 0.0007189395
  0.9875744 0.001260958
  0.9823995 0.001906131
  0.9769361 0.002644903
  0.9712576 0.00346224
  0.96543 0.004339787
  0.9595014 0.005265056
  0.9535098 0.006228352
  0.947479 0.007221217
  0.9414175 0.008237807
  0.9353272 0.009274591
  0.929211 0.01032801
  0.9230726 0.01139419
  0.9169173 0.01246907
  0.9107509 0.01354958
  0.9045785 0.01463324
  0.8984044 0.01571776
  0.8922319 0.016801
  0.886063 0.01788103
  0.8798993 0.01895631
  0.8737417 0.02002552
  0.8675908 0.02108741
  0.8614467 0.02214081
  0.8553092 0.02318466
  0.8491776 0.02421802
  0.8430511 0.02524025
  0.8369289 0.0262508
  0.83081 0.02724912
  0.8246934 0.02823466
  0.8185779 0.0292069
  0.8124624 0.03016538
  0.8063457 0.03111018
  0.800227 0.03204155
  0.7941057 0.03295973
  0.7879811 0.03386488
  0.7818531 0.03475718
  0.7757216 0.03563673
  0.7695866 0.03650367
  0.7634483 0.03735818
  0.7573068 0.03820047
  0.7511622 0.03903078
  0.7450144 0.03984934
  0.7388633 0.04065638
  0.7327088 0.04145216
  0.7265507 0.04223694
  0.7203887 0.04301104
  0.7142228 0.04377479
  0.708053 0.0445285
  0.7018795 0.04527245
  0.6957026 0.04600692
  0.6895228 0.04673219
  0.6833407 0.0474485
  0.6771568 0.04815591
  0.6709719 0.04885428
  0.6647862 0.04954346
  0.6586003 0.05022333
  0.6524143 0.05089376
  0.6462284 0.05155465
  0.6400425 0.0522059
  0.6338567 0.05284745
  0.6276706 0.05347925
  0.6214841 0.05410129
  0.6152971 0.05471354
  0.6091095 0.05531597
  0.602921 0.05590857
  0.5967317 0.05649131
  0.5905414 0.05706415
  0.58435 0.05762706
  0.5781574 0.05818004
  0.5719637 0.05872305
  0.565769 0.0592561
  0.5595733 0.05977915
  0.5533769 0.06029218
  0.5471799 0.06079516
  0.5409827 0.06128807
  0.5347856 0.06177085
  0.528589 0.06224335
  0.5223932 0.06270534
  0.5161984 0.06315656
  0.5100046 0.0635968
  0.5038119 0.06402583
  0.4976202 0.06444343
  0.4914292 0.0648494
  0.4852386 0.06524353
  0.4790481 0.0656257
  0.4728572 0.06599586
  0.466666 0.06635397
  0.4604743 0.06669996
  0.4542821 0.06703377
  0.4480897 0.06735533
  0.4418974 0.06766456
  0.4357055 0.0679614
  0.4295147 0.06824564
  0.4233254 0.06851695
  0.4171379 0.06877496
  0.4109524 0.06901934
  0.4047692 0.06924976
  0.3985882 0.06946587
  0.3924093 0.06966737
  0.3862324 0.06985392
  0.3800571 0.07002523
  0.3738833 0.07018106
  0.3677109 0.07032114
  0.3615398 0.07044523
  0.3553702 0.07055306
  0.3492024 0.07064437
  0.3430366 0.07071891
  0.3368733 0.0707764
  0.330713 0.07081646
  0.3245562 0.07083858
  0.318403 0.07084229
  0.3122537 0.07082712
  0.3061084 0.07079257
  0.299967 0.07073819
  0.2938294 0.0706635
  0.2876953 0.07056802
  0.2815646 0.0704513
  0.2754373 0.07031288
  0.2693137 0.07015232
  0.2631944 0.06996918
  0.2570798 0.06976304
  0.2509708 0.06953349
  0.2448686 0.06928
  0.2387741 0.06900162
  0.2326884 0.06869729
  0.2266126 0.068366
  0.2205473 0.06800673
  0.2144935 0.0676185
  0.2084518 0.06720033
  0.2024229 0.06675104
  0.1964077 0.06626912
  0.1904071 0.0657531
  0.1844223 0.06520152
  0.1784544 0.06461299
  0.1725049 0.06398618
  0.166575 0.06331969
  0.1606665 0.06261174
  0.1547805 0.06186047
  0.1489182 0.06106401
  0.1430801 0.06022053
  0.1372666 0.05932817
  0.131478 0.05838495
  0.1257157 0.05738868
  0.1199821 0.05633739
  0.114281 0.05522945
  0.108617 0.05406367
  0.1029959 0.05283917
  0.09742372 0.05155431
  0.09190422 0.0502066
  0.08643836 0.04879311
  0.08102456 0.04731028
  0.07565936 0.04575377
  0.07034353 0.04411904
  0.06508973 0.04240493
  0.05992201 0.04061537
  0.0548729 0.03875959
  0.04997669 0.03684903
  0.04524869 0.03488801
