  SD7090 (10%)
  1.0 0.0
  0.9966614 0.0004830073
  0.9924635 0.001159484
  0.9878687 0.001966283
  0.9828816 0.002887217
  0.9775467 0.003898191
  0.9719393 0.004966714
  0.9661385 0.00605496
  0.9602106 0.00713885
  0.954204 0.008203213
  0.9481386 0.009238475
  0.9420077 0.01024445
  0.9358013 0.01122745
  0.9295171 0.01219325
  0.9231617 0.01314659
  0.9167501 0.01408972
  0.9102982 0.01502228
  0.9038187 0.01594438
  0.8973203 0.01685681
  0.8908074 0.01776096
  0.8842814 0.01865791
  0.8777432 0.01954819
  0.8711941 0.02043232
  0.8646355 0.02131075
  0.8580696 0.02218393
  0.8514982 0.02305201
  0.8449234 0.02391485
  0.8383463 0.02477232
  0.8317678 0.02562437
  0.8251882 0.02647103
  0.8186074 0.02731238
  0.8120247 0.0281486
  0.8054397 0.02897989
  0.7988523 0.02980646
  0.7922624 0.03062844
  0.7856704 0.03144597
  0.7790767 0.03225914
  0.7724821 0.03306796
  0.7658873 0.03387225
  0.7592928 0.03467184
  0.7526991 0.03546655
  0.7461063 0.03625626
  0.7395144 0.03704084
  0.7329232 0.03782021
  0.7263323 0.0385943
  0.7197415 0.03936306
  0.7131507 0.04012643
  0.70656 0.04088431
  0.6999695 0.0416366
  0.6933797 0.04238318
  0.6867911 0.0431239
  0.6802044 0.04385855
  0.6736203 0.04458671
  0.6670392 0.04530796
  0.6604613 0.04602191
  0.6538868 0.04672819
  0.6473154 0.04742643
  0.6407469 0.04811632
  0.6341808 0.04879754
  0.6276165 0.04946995
  0.6210534 0.05013346
  0.6144913 0.05078796
  0.6079297 0.05143336
  0.6013685 0.05206952
  0.5948075 0.05269633
  0.5882469 0.05331363
  0.5816867 0.05392129
  0.5751271 0.05451912
  0.5685682 0.05510697
  0.56201 0.05568467
  0.5554528 0.05625207
  0.5488965 0.05680902
  0.5423411 0.05735535
  0.5357868 0.05789091
  0.5292335 0.05841556
  0.5226812 0.0589291
  0.5161299 0.05943138
  0.5095797 0.05992221
  0.5030306 0.06040141
  0.4964827 0.06086881
  0.489936 0.06132424
  0.4833906 0.06176751
  0.4768467 0.06219841
  0.4703042 0.0626167
  0.4637635 0.06302214
  0.4572245 0.06341449
  0.4506874 0.06379351
  0.4441524 0.06415896
  0.4376197 0.0645106
  0.4310893 0.06484819
  0.4245615 0.06517144
  0.4180364 0.06548005
  0.4115141 0.06577372
  0.4049945 0.06605215
  0.3984778 0.06631505
  0.3919637 0.06656212
  0.3854524 0.06679308
  0.3789435 0.06700764
  0.3724372 0.0672055
  0.3659334 0.06738637
  0.3594323 0.06754994
  0.3529344 0.06769593
  0.3464399 0.06782403
  0.3399496 0.06793394
  0.3334641 0.06802536
  0.3269841 0.06809777
  0.3205102 0.06815056
  0.3140428 0.06818317
  0.3075823 0.06819503
  0.3011289 0.06818556
  0.2946826 0.06815421
  0.2882432 0.06810043
  0.2818108 0.06802361
  0.2753854 0.06792316
  0.2689674 0.06779847
  0.2625572 0.06764897
  0.2561556 0.06747408
  0.2497636 0.06727327
  0.2433822 0.06704595
  0.2370127 0.06679126
  0.2306562 0.06650822
  0.2243136 0.06619584
  0.2179854 0.0658532
  0.2116722 0.06547933
  0.2053742 0.06507331
  0.1990916 0.06463414
  0.192825 0.06416074
  0.1865753 0.06365207
  0.1803437 0.06310717
  0.1741317 0.06252513
  0.1679415 0.06190516
  0.1617751 0.06124623
  0.1556353 0.06054682
  0.1495247 0.05980545
  0.143446 0.05902075
  0.1374016 0.05819146
  0.1313943 0.05731641
  0.1254271 0.05639395
  0.1195042 0.0554221
  0.1136305 0.05439929
  0.1078117 0.05332435
  0.102054 0.0521966
  0.09636459 0.05101515
  0.0907517 0.04977846
  0.08522415 0.04848563
  0.07979082 0.04713649
  0.07446035 0.04573165
  0.06924297 0.04427162
  0.06415582 0.04275802
  0.05922169 0.04119611
  0.05446514 0.03959435
  0.04990903 0.03796328
  0.04557473 0.03631271
  0.04147954 0.03465251
  0.03763309 0.0329929
  0.03403697 0.03134329
  0.030687 0.02971115
  0.02758455 0.02810373
  0.0247356 0.02653305
  0.02214032 0.02501182
  0.01978942 0.02354958
  0.01766591 0.02215137
  0.01575152 0.02081676
  0.01402592 0.01954098
  0.01246729 0.01831782
  0.0110553 0.01714111
  0.009772073 0.0160052
  0.008602304 0.01490515
  0.007533123 0.01383652
  0.006555439 0.01279433
  0.005663386 0.01177546
  0.00485222 0.01077899
  0.004117372 0.009805134
  0.003454066 0.008854517
  0.002857244 0.007927768
  0.002321676 0.007025297
  0.001842134 0.00614722
  0.001416466 0.005294729
  0.001046656 0.004469699
  0.0007331462 0.003671622
  0.0004754535 0.00289853
  0.0002729941 0.002147768
  0.0001255499 0.001416388
  3.356814e-05 0.0007013143
  -1.597584e-06 -6.208369e-07
  2.258076e-05 -0.0006927261
  0.0001098372 -0.001378568
  0.0002607226 -0.002061829
  0.0004736174 -0.002745719
  0.0007482494 -0.003432937
  0.001085571 -0.004125739
  0.001487594 -0.004825896
  0.001957199 -0.005534505
  0.002497791 -0.006251591
  0.003112576 -0.006975332
  0.003803278 -0.007700922
  0.004573381 -0.008423757
  0.005430155 -0.009142061
  0.006380842 -0.009854311
  0.007431995 -0.0105594
  0.008588933 -0.01125714
  0.009855288 -0.01194907
  0.0112329 -0.01263949
