SOKOLOV AIRFOIL
  1.0 0.007
  0.9971356 0.007650401
  0.9936648 0.00844035
  0.9899948 0.009277803
  0.9861033 0.01016825
  0.9819656 0.01111781
  0.9775552 0.01213311
  0.972845 0.01322098
  0.9678104 0.0143879
  0.9624337 0.01563878
  0.956712 0.01697525
  0.9506671 0.01839315
  0.9443778 0.01987428
  0.9381499 0.02134308
  0.9319999 0.02279084
  0.9258564 0.0242297
  0.9196654 0.02566757
  0.9133863 0.02710859
  0.9070512 0.02853983
  0.9008108 0.02992257
  0.8946591 0.0312554
  0.8885722 0.03254504
  0.8825292 0.03379856
  0.8765129 0.03502191
  0.870508 0.0362202
  0.8645017 0.03739786
  0.8584827 0.03855884
  0.8524413 0.03970665
  0.8463691 0.04084446
  0.840259 0.04197515
  0.8341055 0.04310132
  0.8279046 0.04422535
  0.8216538 0.04534934
  0.8153527 0.04647513
  0.8090029 0.04760428
  0.8026084 0.04873801
  0.7961838 0.04987569
  0.7897785 0.05100895
  0.7833942 0.05213667
  0.7770232 0.05325932
  0.7706589 0.05437727
  0.7642952 0.0554907
  0.7579268 0.05659969
  0.7515492 0.05770413
  0.7451586 0.05880382
  0.7387516 0.05989839
  0.7323258 0.06098733
  0.7258898 0.06206825
  0.7194699 0.06313584
  0.7130679 0.06418908
  0.7066825 0.06522737
  0.7003121 0.06625023
  0.6939544 0.06725738
  0.6876068 0.06824897
  0.681267 0.06922522
  0.6749329 0.07018628
  0.6686025 0.07113229
  0.6622742 0.07206332
  0.6559462 0.07297943
  0.6496171 0.07388061
  0.6432856 0.07476684
  0.6369507 0.07563805
  0.6306112 0.07649415
  0.6242663 0.07733501
  0.6179154 0.07816048
  0.6115579 0.07897038
  0.6051934 0.0797645
  0.5988217 0.08054261
  0.5924427 0.08130455
  0.5860563 0.08205034
  0.5796629 0.08278004
  0.5732626 0.08349367
  0.566856 0.08419125
  0.5604435 0.0848728
  0.5540258 0.08553832
  0.5476038 0.08618781
  0.5411785 0.08682126
  0.5347508 0.08743867
  0.5283221 0.08804003
  0.5218938 0.08862532
  0.5154671 0.08919454
  0.5090439 0.08974768
  0.5026258 0.09028475
  0.4962145 0.09080569
  0.4898121 0.09130941
  0.4834201 0.09179403
  0.4770397 0.09225771
  0.470672 0.09269867
  0.4643176 0.09311521
  0.4579768 0.09350565
  0.4516497 0.09386836
  0.445336 0.09420177
  0.4390351 0.09450433
  0.4327463 0.09477449
  0.4264686 0.09501075
  0.4202005 0.09521158
  0.4139405 0.09537547
  0.4076867 0.09550087
  0.4014372 0.09558621
  0.3951895 0.09563011
  0.3889413 0.09563322
  0.3826904 0.09559713
  0.3764349 0.09552339
  0.3701729 0.09541348
  0.3639028 0.0952689
  0.3576232 0.09509108
  0.3513329 0.09488148
  0.3450308 0.09464152
  0.3387161 0.09437266
  0.3323881 0.09407634
  0.3260463 0.09375404
  0.3196906 0.09340726
  0.3133209 0.09303753
  0.3069373 0.09264642
  0.3005404 0.09223553
  0.2941308 0.09180607
  0.2877102 0.09135709
  0.2812824 0.09088706
  0.2748535 0.09039467
  0.2684322 0.0898789
  0.2620292 0.08933907
  0.2556572 0.08877485
  0.2493305 0.08818634
  0.2430646 0.0875724
  0.2368721 0.08692723
  0.230759 0.08624422
  0.2247248 0.08551664
  0.2187636 0.08473754
  0.2128653 0.08389951
  0.2070156 0.08299434
  0.2011967 0.08201268
  0.1953864 0.08094509
  0.1895593 0.07979332
  0.1836938 0.07856492
  0.1777735 0.07726847
  0.1717885 0.07591438
  0.1657359 0.07451551
  0.1596215 0.07308786
  0.153461 0.07165074
  0.1472808 0.0702261
  0.1411176 0.0688221
  0.1350075 0.06742783
  0.1289764 0.0660301
  0.1230408 0.06461502
  0.1172085 0.06316843
  0.1114803 0.06167602
  0.1058512 0.06012324
  0.1003121 0.05849506
  0.09484973 0.05677861
  0.08944336 0.05497335
  0.08406069 0.05307715
  0.0786557 0.05108019
  0.07316312 0.048962
  0.06750006 0.04668478
  0.06165467 0.04422508
  0.05579407 0.0416373
  0.05024574 0.03906669
  0.04528758 0.03666236
  0.0409447 0.03445925
  0.03706364 0.03239894
  0.03348194 0.03040658
  0.0300521 0.02840115
  0.02660546 0.02626982
  0.02282082 0.02376402
  0.01804684 0.02034196
  0.01370542 0.01704418
  0.0108795 0.01484279
  0.008879824 0.01323665
  0.007335498 0.01193994
  0.006078813 0.01082971
