UAG 88-143/20
  1.0 2e-05
  0.9971795 0.001328886
  0.9935145 0.00285434
  0.9893103 0.004419506
  0.9845506 0.006067794
  0.9793296 0.007792686
  0.9737601 0.009578076
  0.9679538 0.01140372
  0.9620002 0.01325142
  0.9559594 0.01511132
  0.9498668 0.01698173
  0.9437463 0.01886408
  0.9376125 0.02075645
  0.9314774 0.02265468
  0.9253515 0.02455595
  0.9192414 0.02646063
  0.9131476 0.0283711
  0.9070662 0.03029037
  0.9009944 0.03222009
  0.8949337 0.03416065
  0.8888885 0.03611183
  0.8828623 0.03807442
  0.8768559 0.04005024
  0.8708668 0.042042
  0.864893 0.04405217
  0.8589365 0.04608164
  0.853004 0.04812967
  0.8471061 0.05019459
  0.8412499 0.05227755
  0.8354327 0.05438336
  0.8296421 0.0565204
  0.8238567 0.05869896
  0.8180534 0.06092319
  0.812219 0.06319205
  0.8063516 0.06549986
  0.8004622 0.06783541
  0.7945693 0.07018202
  0.7886886 0.07252249
  0.7828313 0.07484169
  0.7770032 0.07712682
  0.7712062 0.07936809
  0.7654394 0.0815594
  0.7596992 0.08369642
  0.753979 0.08577599
  0.7482698 0.08779596
  0.7425614 0.08975656
  0.7368451 0.09166068
  0.7311138 0.09351069
  0.7253618 0.09530821
  0.7195846 0.09705427
  0.7137792 0.09875009
  0.7079442 0.1003979
  0.7020795 0.1019995
  0.6961868 0.1035566
  0.6902688 0.1050704
  0.6843297 0.1065414
  0.6783734 0.1079693
  0.6724026 0.1093538
  0.666419 0.1106949
  0.6604235 0.1119931
  0.6544157 0.113249
  0.6483951 0.1144631
  0.6423614 0.1156361
  0.636315 0.1167685
  0.6302563 0.1178608
  0.6241866 0.1189132
  0.6181068 0.1199259
  0.6120179 0.1208992
  0.6059204 0.1218332
  0.5998146 0.1227282
  0.5937004 0.1235846
  0.5875777 0.1244027
  0.5814464 0.1251831
  0.5753068 0.125926
  0.5691594 0.1266318
  0.5630051 0.1273008
  0.5568449 0.1279333
  0.5506795 0.1285295
  0.5445093 0.1290894
  0.5383341 0.1296134
  0.5321533 0.1301017
  0.5259661 0.1305547
  0.5197716 0.130973
  0.5135697 0.131357
  0.5073609 0.1317076
  0.5011463 0.132025
  0.4949277 0.1323099
  0.488707 0.1325622
  0.4824857 0.1327818
  0.4762642 0.1329686
  0.4700426 0.1331226
  0.4638201 0.1332436
  0.4575956 0.1333319
  0.4513683 0.1333877
  0.4451382 0.1334114
  0.4389056 0.1334031
  0.4326718 0.1333633
  0.4264383 0.133292
