USA-35B AIRFOIL
  1.0 -0.0251
  0.9964638 -0.02420728
  0.9921959 -0.02313161
  0.9877067 -0.02200224
  0.9829771 -0.02081468
  0.9779875 -0.01956441
  0.9727193 -0.01824717
  0.9671567 -0.01685949
  0.9612896 -0.01539939
  0.9551179 -0.01386738
  0.9486562 -0.01226767
  0.9419376 -0.01060921
  0.9350102 -0.008904837
  0.9279284 -0.007169017
  0.9207462 -0.005415959
  0.9135097 -0.003657882
  0.9062528 -0.00190375
  0.8989935 -0.0001586392
  0.8917345 0.00157625
  0.8844724 0.003301632
  0.8772039 0.00501821
  0.8699264 0.006726527
  0.8626377 0.008426966
  0.8553365 0.01011975
  0.848022 0.01180496
  0.840694 0.01348252
  0.8333531 0.01515218
  0.8260005 0.01681357
  0.818638 0.01846616
  0.8112683 0.02010928
  0.8038946 0.02174212
  0.7965208 0.02336371
  0.7891514 0.02497269
  0.78179 0.02656744
  0.7744396 0.02814651
  0.7671024 0.02970869
  0.7597795 0.03125293
  0.7524717 0.03277839
  0.7451786 0.03428438
  0.7378994 0.03577039
  0.7306324 0.03723604
  0.7233754 0.03868109
  0.7161253 0.0401054
  0.7088785 0.04150895
  0.7016308 0.04289181
  0.6943771 0.04425427
  0.6871124 0.0455978
  0.6798325 0.04692427
  0.6725338 0.04823539
  0.6652133 0.04953275
  0.6578687 0.05081778
  0.6504986 0.0520918
  0.6431022 0.053356
  0.6356793 0.05461146
  0.628231 0.05585914
  0.6207589 0.05709989
  0.6132657 0.05833443
  0.6057548 0.05956337
  0.5982308 0.06078718
  0.5906989 0.06200548
  0.5831642 0.06321637
  0.5756315 0.06441781
  0.5681055 0.06560785
  0.5605905 0.06678459
  0.5530905 0.06794623
  0.5456093 0.06909108
  0.5381501 0.07021752
  0.5307161 0.07132405
  0.5233098 0.07240928
  0.5159338 0.07347189
  0.50859 0.07451069
  0.5012802 0.07552457
  0.4940058 0.07651248
  0.486768 0.07747295
  0.479567 0.07840451
  0.4724028 0.07930581
  0.4652744 0.08017566
  0.4581804 0.08101294
  0.4511188 0.08181665
  0.444087 0.08258584
  0.4370821 0.08331961
  0.4301008 0.0840171
  0.423139 0.08467743
  0.4161926 0.08529975
  0.4092568 0.08588314
  0.4023265 0.08642664
  0.395396 0.08692935
  0.3884597 0.0873915
  0.3815129 0.08781398
  0.3745517 0.08819755
  0.3675734 0.08854282
  0.3605762 0.08885033
  0.3535593 0.08912051
  0.3465229 0.08935379
  0.3394686 0.08955054
  0.3323988 0.08971118
  0.3253172 0.08983616
  0.3182288 0.08992597
  0.3111398 0.08998123
  0.3040572 0.09000266
  0.2969893 0.08999105
  0.2899453 0.08994586
  0.2829332 0.08986487
  0.2759601 0.08974597
  0.2690312 0.08958724
  0.2621507 0.08938692
  0.2553212 0.08914339
  0.2485444 0.08885513
  0.2418208 0.08852072
  0.2351499 0.08813878
  0.2285305 0.08770792
  0.2219603 0.08722676
  0.2154368 0.08669387
  0.2089566 0.08610773
  0.2025157 0.0854667
  0.1961096 0.08476911
  0.1897338 0.08401477
  0.1833848 0.08320464
  0.1770598 0.08233967
  0.1707571 0.08142084
  0.1644759 0.08044918
  0.1582162 0.07942578
  0.1519787 0.07835189
  0.1457654 0.07722863
  0.1395817 0.07605493
  0.1334417 0.07482979
  0.127368 0.07355465
  0.1213894 0.07223351
  0.1155387 0.07087287
  0.1098492 0.0694812
  0.1043512 0.06806825
  0.09906919 0.06664412
  0.09402072 0.06521445
  0.08920889 0.06377348
  0.08461903 0.06231186
  0.08022702 0.06081871
  0.07600487 0.05928197
  0.07192288 0.05768955
  0.0679524 0.05604098
  0.06407838 0.05434554
  0.06030011 0.05261728
  0.05662722 0.05087447
  0.05307564 0.04913815
  0.04966334 0.04742992
  0.04640813 0.04576749
  0.04332574 0.04415881
  0.04042223 0.04260692
  0.03769569 0.04111204
  0.03513917 0.03967254
  0.03274291 0.03828569
  0.03049589 0.03694824
  0.02838684 0.03565674
  0.02640479 0.03440777
  0.02453943 0.03319804
  0.02278067 0.03202183
  0.02111934 0.0308703
  0.0195485 0.02973708
  0.01806254 0.02861805
  0.01665659 0.02751073
  0.01532609 0.02641369
  0.01406662 0.02532626
  0.01287385 0.0242482
  0.01174385 0.0231798
  0.01067633 0.02212395
  0.009671681 0.02108374
  0.008728866 0.02006082
  0.00784599 0.01905585
  0.007020754 0.01806882
  0.006250723 0.01709932
  0.005533485 0.01614668
  0.004866748 0.01521009
  0.004248388 0.01428866
  0.00367647 0.01338147
  0.003149262 0.01248758
  0.002665231 0.01160609
  0.002223039 0.01073609
  0.001821534 0.009876716
  0.001459745 0.009027119
  0.001136873 0.008186483
  0.0008522847 0.007354013
  0.0006055098 0.006528935
  0.0003962361 0.00571049
  0.0002243096 0.004897933
  8.973593e-05 0.004090524
  -7.315885e-06 0.003287525
  -6.650672e-05 0.002488193
  -8.731744e-05 0.001691771
  -6.90352e-05 0.0008974859
  -1.07353e-05 0.000104532
  8.847426e-05 -0.000687854
  0.0002281377 -0.00147998
  0.000407443 -0.002271932
  0.0006257867 -0.003063739
  0.0008827567 -0.003855367
  0.001178119 -0.004646719
  0.001511804 -0.005437628
  0.001883906 -0.00622785
  0.002294669 -0.007017052
  0.002744493 -0.007804805
  0.003233927 -0.008590559
  0.003763671 -0.009373632
