USNPS4 (smoothed)
  1.0 0.003907
  0.9970078 0.005253688
  0.9933036 0.006916361
  0.989339 0.008660614
  0.9851043 0.01046311
  0.9805937 0.01232313
  0.9758253 0.01423388
  0.9708335 0.01617726
  0.9656507 0.01813568
  0.9602966 0.02009851
  0.9547864 0.0220594
  0.9491377 0.0240124
  0.9433701 0.02595152
  0.9375017 0.02787095
  0.9315471 0.0297666
  0.9255164 0.03163651
  0.919416 0.0334799
  0.9132521 0.03529636
  0.9070309 0.03708567
  0.9007585 0.03884769
  0.8944405 0.04058195
  0.8880816 0.04228827
  0.8816857 0.04396682
  0.8752557 0.04561805
  0.8687939 0.04724232
  0.8623021 0.04884005
  0.8557823 0.05041175
  0.8492361 0.05195803
  0.8426647 0.05347944
  0.8360695 0.05497653
  0.8294518 0.05644987
  0.8228125 0.05790008
  0.8161528 0.05932777
  0.8094737 0.0607334
  0.8027767 0.06211737
  0.796063 0.06348003
  0.7893346 0.06482174
  0.7825933 0.06614272
  0.7758408 0.06744288
  0.7690782 0.06872222
  0.7623066 0.06998081
  0.7555261 0.0712188
  0.748737 0.07243645
  0.7419389 0.07363407
  0.735132 0.07481193
  0.7283165 0.07597032
  0.7214925 0.07710947
  0.7146606 0.07822959
  0.7078213 0.07933081
  0.7009752 0.08041321
  0.6941228 0.08147689
  0.687265 0.08252193
  0.6804023 0.08354842
  0.6735355 0.08455635
  0.6666652 0.08554563
  0.6597918 0.0865162
  0.6529155 0.08746801
  0.6460367 0.08840103
  0.6391551 0.08931526
  0.6322708 0.09021074
  0.6253838 0.09108749
  0.618494 0.09194551
  0.6116017 0.09278481
  0.6047069 0.09360541
  0.5978098 0.09440726
  0.5909107 0.09519035
  0.5840098 0.09595462
  0.5771074 0.09670004
  0.5702035 0.09742658
  0.5632985 0.09813418
  0.5563926 0.09882276
  0.549486 0.09949223
  0.542579 0.1001425
  0.5356719 0.1007734
  0.5287649 0.1013849
  0.5218583 0.1019768
  0.5149524 0.102549
  0.5080474 0.1031014
  0.5011435 0.1036337
  0.4942407 0.1041458
  0.4873391 0.1046377
  0.4804389 0.105109
  0.4735401 0.1055597
  0.4666429 0.1059896
  0.4597474 0.1063985
  0.4528541 0.1067864
  0.4459632 0.1071529
  0.439075 0.1074979
  0.43219 0.1078211
  0.4253085 0.1081223
  0.4184312 0.1084011
  0.4115584 0.1086575
  0.4046908 0.108891
  0.3978288 0.1091013
  0.390973 0.1092879
  0.384124 0.1094506
  0.3772821 0.1095889
  0.370448 0.1097025
  0.3636222 0.1097909
  0.3568052 0.1098536
  0.3499978 0.1098901
  0.3432006 0.1099
  0.3364144 0.1098828
  0.3296399 0.1098379
  0.3228781 0.1097647
  0.3161299 0.1096625
  0.3093963 0.1095308
  0.3026785 0.109369
  0.2959776 0.1091763
  0.289295 0.108952
  0.2826321 0.1086952
  0.2759903 0.108405
  0.2693713 0.1080809
  0.2627767 0.1077219
  0.2562082 0.1073269
  0.2496676 0.1068949
  0.2431565 0.1064249
  0.2366767 0.1059159
  0.2302298 0.105367
  0.2238177 0.104777
  0.2174426 0.1041447
  0.2111069 0.103469
  0.2048129 0.1027492
  0.1985633 0.1019841
  0.1923612 0.1011725
  0.1862097 0.1003132
  0.1801118 0.09940508
  0.1740706 0.0984473
  0.1680894 0.09743894
  0.1621717 0.09637867
  0.1563207 0.09526531
  0.1505396 0.09409789
  0.1448314 0.09287571
  0.1391991 0.09159796
  0.1336461 0.09026358
  0.1281757 0.08887178
  0.1227913 0.08742211
  0.1174958 0.08591443
  0.1122926 0.0843484
  0.107185 0.08272338
  0.1021758 0.08103896
  0.09726694 0.07929493
  0.09246016 0.0774913
  0.08775712 0.07562822
  0.08315927 0.07370593
  0.07866736 0.07172467
  0.07428154 0.06968466
  0.07000164 0.06758645
  0.06582837 0.06543266
  0.06176462 0.06322771
  0.05781491 0.06097734
  0.05398472 0.05868844
  0.05028026 0.05636909
  0.04670993 0.05402967
  0.0432838 0.0516829
  0.04001168 0.04934279
  0.03690149 0.04702337
  0.03395883 0.04473758
  0.03118706 0.04249696
  0.02858647 0.04031137
  0.02615407 0.03818845
  0.023884 0.03613335
  0.0217693 0.03414895
  0.01980487 0.03223768
  0.01798583 0.03040242
  0.01630606 0.02864525
  0.01475795 0.02696675
  0.01333268 0.02536594
  0.01202115 0.02384009
  0.01081495 0.02238393
  0.009705104 0.02099104
  0.008682616 0.01965495
  0.007739079 0.01836958
  0.006866885 0.0171294
  0.006059277 0.01592952
  0.005310319 0.0147656
  0.004616002 0.01363395
  0.003975298 0.01253211
  0.003387643 0.01145895
  0.002852322 0.0104141
  0.002368293 0.009397602
  0.001934116 0.008409617
  0.001547956 0.007450274
  0.001207637 0.006519563
  0.0009107375 0.005617286
  0.0006558356 0.004743119
  0.0004431283 0.003895677
  0.0002722881 0.003071931
  0.0001428196 0.002267927
  5.449249e-05 0.001479226
  7.633954e-06 0.0007010513
  3.372992e-06 -7.171295e-05
  4.367431e-05 -0.0008427703
  0.0001313466 -0.001612472
  0.000270335 -0.002379858
  0.0004656882 -0.003142788
  0.0007234825 -0.003897748
  0.001050655 -0.004639584
  0.00145201 -0.005363024
  0.00192631 -0.006065637
  0.002471136 -0.006745313
  0.003083665 -0.007399766
  0.00376064 -0.008026496
  0.00449832 -0.008622731
  0.005292416 -0.00918535
  0.006138647 -0.009711182
  0.007037447 -0.01019991
  0.00799191 -0.01065281
  0.009005412 -0.01107138
  0.01008152 -0.01145747
  0.01122384 -0.01181351
  0.01243566 -0.01214274
  0.01371947 -0.01244963
  0.01507829 -0.01273752
  0.0165185 -0.01300541
  0.01804761 -0.01325186
  0.01967398 -0.01347565
  0.02140708 -0.01367596
  0.02325786 -0.01385265
  0.02523935 -0.01400657
  0.02736808 -0.01413764
  0.02966437 -0.01424374
  0.03215215 -0.01432282
  0.03485955 -0.01437342
  0.03781864 -0.01439536
  0.04106339 -0.01438984
  0.04462695 -0.01435487
  0.04853941 -0.01428786
  0.05282552 -0.01418828
  0.0575038 -0.01405887
  0.06258515 -0.01390272
  0.06806035 -0.01372352
  0.07389524 -0.01352882
  0.08003834 -0.0133284
  0.0864287 -0.01312767
  0.0930036 -0.01293053
  0.09971434 -0.01274031
  0.1065321 -0.01255856
  0.1134342 -0.01238564
  0.1204012 -0.0122216
  0.1274172 -0.01206628
  0.1344703 -0.01191945
  0.1415511 -0.01178075
  0.1486535 -0.01164972
  0.1557741 -0.01152581
  0.1629107 -0.01140848
  0.1700612 -0.01129716
  0.1772236 -0.01119128
  0.1843962 -0.01109032
  0.1915774 -0.01099392
  0.1987662 -0.01090171
  0.2059616 -0.01081332
  0.2131634 -0.01072838
  0.2203711 -0.01064656
  0.2275843 -0.01056755
  0.2348027 -0.01049104
  0.2420254 -0.0104167
  0.249252 -0.01034433
  0.2564819 -0.01027375
  0.2637147 -0.01020479
  0.2709504 -0.0101373
  0.278189 -0.0100711
  0.2854305 -0.01000602
  0.2926747 -0.009941869
  0.2999217 -0.009878477
  0.3071708 -0.009815666
  0.3144218 -0.009753294
  0.321674 -0.009691309
  0.3289273 -0.00962967
  0.3361812 -0.009568338
  0.3434357 -0.00950727
  0.3506908 -0.009446419
  0.3579464 -0.009385722
  0.3652025 -0.009325117
  0.3724591 -0.009264541
  0.3797159 -0.009203931
  0.3869729 -0.009143237
  0.3942299 -0.009082435
  0.4014868 -0.009021509
  0.4087434 -0.008960441
  0.4159997 -0.008899214
  0.4232555 -0.008837808
  0.4305109 -0.0087762
  0.437766 -0.008714363
  0.4450207 -0.00865227
  0.4522753 -0.008589894
  0.4595301 -0.008527212
  0.4667851 -0.008464238
  0.4740407 -0.008401013
  0.4812967 -0.008337576
  0.4885532 -0.008273969
  0.4958099 -0.008210233
  0.5030665 -0.00814638
  0.5103228 -0.00808238
  0.5175788 -0.008018203
  0.5248344 -0.007953816
  0.5320899 -0.007889185
  0.5393455 -0.007824298
  0.5466016 -0.007759189
  0.5538582 -0.007693905
