WASP (smoothed)
  1.0 7e-05
  0.9972699 0.001445562
  0.9940283 0.002793219
  0.9906219 0.003943789
  0.9869935 0.004937362
  0.9830753 0.005808073
  0.9787948 0.006593453
  0.9740852 0.007330267
  0.9689038 0.008051981
  0.9633059 0.008803082
  0.957472 0.009598635
  0.9515597 0.01043631
  0.9456 0.01132829
  0.9395359 0.01228048
  0.9333289 0.01328738
  0.9269882 0.01433462
  0.920567 0.01540392
  0.9141157 0.01648083
  0.9076619 0.01755461
  0.9012087 0.0186196
  0.8947497 0.01967595
  0.8882813 0.02072428
  0.8818041 0.02176452
  0.8753229 0.02279584
  0.8688426 0.02381691
  0.8623659 0.02482672
  0.8558924 0.02582469
  0.8494189 0.02681078
  0.842941 0.02778591
  0.8364553 0.02875135
  0.8299603 0.02970809
  0.823456 0.03065687
  0.8169442 0.03159814
  0.8104273 0.03253182
  0.8039071 0.03345786
  0.7973844 0.03437629
  0.7908594 0.03528726
  0.7843318 0.03619103
  0.7778009 0.0370879
  0.7712665 0.03797811
  0.7647289 0.03886182
  0.758189 0.03973915
  0.7516481 0.04061008
  0.745108 0.04147429
  0.7385696 0.04233133
  0.7320334 0.04318081
  0.7254994 0.04402244
  0.7189671 0.04485597
  0.7124352 0.04568135
  0.7059028 0.04649871
  0.6993694 0.04730814
  0.6928346 0.0481097
  0.6862986 0.04890341
  0.6797621 0.0496892
  0.6732259 0.05046686
  0.6666905 0.05123604
  0.6601567 0.05199644
  0.6536248 0.05274776
  0.647095 0.05348973
  0.6405674 0.05422209
  0.634042 0.0549446
  0.6275186 0.05565703
  0.6209968 0.05635917
  0.6144762 0.05705081
  0.6079562 0.05773175
  0.601436 0.05840187
  0.594915 0.0590612
  0.5883928 0.05970981
  0.5818693 0.06034775
  0.5753445 0.06097504
  0.5688189 0.06159166
  0.562293 0.06219756
  0.5557674 0.06279256
  0.5492424 0.06337647
  0.5427181 0.06394914
  0.5361945 0.06451043
  0.5296712 0.06506022
  0.5231476 0.06559844
  0.5166234 0.06612509
  0.5100984 0.06664015
  0.5035729 0.06714357
  0.4970473 0.06763528
  0.4905224 0.0681152
  0.4839992 0.0685831
  0.4774786 0.06903858
  0.470961 0.06948126
  0.4644466 0.06991077
  0.4579351 0.07032678
  0.4514259 0.07072896
  0.4449183 0.07111711
  0.4384117 0.07149106
  0.4319061 0.07185066
  0.4254019 0.0721957
  0.4188998 0.07252598
  0.4124009 0.07284126
  0.4059067 0.07314103
  0.3994183 0.0734246
  0.3929361 0.07369134
  0.3864604 0.0739406
  0.3799909 0.0741718
  0.3735268 0.07438436
  0.3670673 0.07457783
  0.3606121 0.0747518
  0.3541613 0.07490582
  0.3477153 0.07503947
  0.3412751 0.0751523
  0.3348421 0.0752438
  0.3284175 0.07531315
  0.3220021 0.07535952
  0.3155962 0.07538211
  0.3091994 0.07538011
  0.3028112 0.07535272
  0.2964304 0.07529928
  0.2900567 0.07521921
  0.2836899 0.07511197
  0.2773308 0.07497703
  0.2709805 0.07481388
  0.2646406 0.07462194
  0.2583129 0.07440032
  0.2519983 0.07414802
  0.2456975 0.07386407
  0.2394104 0.07354749
  0.2331362 0.07319727
  0.2268742 0.07281252
  0.2206245 0.07239247
  0.2143874 0.07193638
  0.2081645 0.0714436
  0.2019576 0.07091356
  0.1957692 0.07034537
  0.1896015 0.06973784
  0.1834556 0.06908977
  0.1773323 0.06839994
  0.1712316 0.06766707
  0.1651535 0.06688991
  0.159099 0.06606738
  0.1530701 0.06519857
  0.1470699 0.06428284
  0.1411025 0.06331961
  0.135173 0.06230741
  0.1292866 0.06124471
  0.1234488 0.06013023
  0.1176648 0.05896296
  0.1119401 0.05774135
  0.1062801 0.05646295
  0.1006893 0.05512548
  0.09517114 0.05372685
  0.08972888 0.05226506
  0.08436622 0.05073803
  0.07908724 0.04914413
  0.07389615 0.04748225
  0.0687974 0.04575203
  0.06379738 0.04395482
  0.05890493 0.04209376
  0.05413044 0.04017353
